DateKey,Date,Year,Quarter,Month,MonthShort,MonthNo
20190430,4/30/2019,2019,2,April,Apr,4
20190501,5/1/2019,2019,2,May,May,5
20190502,5/2/2019,2019,2,May,May,5
20190503,5/3/2019,2019,2,May,May,5
20190504,5/4/2019,2019,2,May,May,5
20190505,5/5/2019,2019,2,May,May,5
20190506,5/6/2019,2019,2,May,May,5
20190507,5/7/2019,2019,2,May,May,5
20190508,5/8/2019,2019,2,May,May,5
20190509,5/9/2019,2019,2,May,May,5
20190510,5/10/2019,2019,2,May,May,5
20190511,5/11/2019,2019,2,May,May,5
20190512,5/12/2019,2019,2,May,May,5
20190513,5/13/2019,2019,2,May,May,5
20190514,5/14/2019,2019,2,May,May,5
20190515,5/15/2019,2019,2,May,May,5
20190516,5/16/2019,2019,2,May,May,5
20190517,5/17/2019,2019,2,May,May,5
20190518,5/18/2019,2019,2,May,May,5
20190519,5/19/2019,2019,2,May,May,5
20190520,5/20/2019,2019,2,May,May,5
20190521,5/21/2019,2019,2,May,May,5
20190522,5/22/2019,2019,2,May,May,5
20190523,5/23/2019,2019,2,May,May,5
20190524,5/24/2019,2019,2,May,May,5
20190525,5/25/2019,2019,2,May,May,5
20190526,5/26/2019,2019,2,May,May,5
20190527,5/27/2019,2019,2,May,May,5
20190528,5/28/2019,2019,2,May,May,5
20190529,5/29/2019,2019,2,May,May,5
20190530,5/30/2019,2019,2,May,May,5
20190531,5/31/2019,2019,2,May,May,5
20190601,6/1/2019,2019,2,June,Jun,6
20190602,6/2/2019,2019,2,June,Jun,6
20190603,6/3/2019,2019,2,June,Jun,6
20190604,6/4/2019,2019,2,June,Jun,6
20190605,6/5/2019,2019,2,June,Jun,6
20190606,6/6/2019,2019,2,June,Jun,6
20190607,6/7/2019,2019,2,June,Jun,6
20190608,6/8/2019,2019,2,June,Jun,6
20190609,6/9/2019,2019,2,June,Jun,6
20190610,6/10/2019,2019,2,June,Jun,6
20190611,6/11/2019,2019,2,June,Jun,6
20190612,6/12/2019,2019,2,June,Jun,6
20190613,6/13/2019,2019,2,June,Jun,6
20190614,6/14/2019,2019,2,June,Jun,6
20190615,6/15/2019,2019,2,June,Jun,6
20190616,6/16/2019,2019,2,June,Jun,6
20190617,6/17/2019,2019,2,June,Jun,6
20190618,6/18/2019,2019,2,June,Jun,6
20190619,6/19/2019,2019,2,June,Jun,6
20190620,6/20/2019,2019,2,June,Jun,6
20190621,6/21/2019,2019,2,June,Jun,6
20190622,6/22/2019,2019,2,June,Jun,6
20190623,6/23/2019,2019,2,June,Jun,6
20190624,6/24/2019,2019,2,June,Jun,6
20190625,6/25/2019,2019,2,June,Jun,6
20190626,6/26/2019,2019,2,June,Jun,6
20190627,6/27/2019,2019,2,June,Jun,6
20190628,6/28/2019,2019,2,June,Jun,6
20190629,6/29/2019,2019,2,June,Jun,6
20190630,6/30/2019,2019,2,June,Jun,6
20190701,7/1/2019,2019,3,July,Jul,7
20190702,7/2/2019,2019,3,July,Jul,7
20190703,7/3/2019,2019,3,July,Jul,7
20190704,7/4/2019,2019,3,July,Jul,7
20190705,7/5/2019,2019,3,July,Jul,7
20190706,7/6/2019,2019,3,July,Jul,7
20190707,7/7/2019,2019,3,July,Jul,7
20190708,7/8/2019,2019,3,July,Jul,7
20190709,7/9/2019,2019,3,July,Jul,7
20190710,7/10/2019,2019,3,July,Jul,7
20190711,7/11/2019,2019,3,July,Jul,7
20190712,7/12/2019,2019,3,July,Jul,7
20190713,7/13/2019,2019,3,July,Jul,7
20190714,7/14/2019,2019,3,July,Jul,7
20190715,7/15/2019,2019,3,July,Jul,7
20190716,7/16/2019,2019,3,July,Jul,7
20190717,7/17/2019,2019,3,July,Jul,7
20190718,7/18/2019,2019,3,July,Jul,7
20190719,7/19/2019,2019,3,July,Jul,7
20190720,7/20/2019,2019,3,July,Jul,7
20190721,7/21/2019,2019,3,July,Jul,7
20190722,7/22/2019,2019,3,July,Jul,7
20190723,7/23/2019,2019,3,July,Jul,7
20190724,7/24/2019,2019,3,July,Jul,7
20190725,7/25/2019,2019,3,July,Jul,7
20190726,7/26/2019,2019,3,July,Jul,7
20190727,7/27/2019,2019,3,July,Jul,7
20190728,7/28/2019,2019,3,July,Jul,7
20190729,7/29/2019,2019,3,July,Jul,7
20190730,7/30/2019,2019,3,July,Jul,7
20190731,7/31/2019,2019,3,July,Jul,7
20190801,8/1/2019,2019,3,August,Aug,8
20190802,8/2/2019,2019,3,August,Aug,8
20190803,8/3/2019,2019,3,August,Aug,8
20190804,8/4/2019,2019,3,August,Aug,8
20190805,8/5/2019,2019,3,August,Aug,8
20190806,8/6/2019,2019,3,August,Aug,8
20190807,8/7/2019,2019,3,August,Aug,8
20190808,8/8/2019,2019,3,August,Aug,8
20190809,8/9/2019,2019,3,August,Aug,8
20190810,8/10/2019,2019,3,August,Aug,8
20190811,8/11/2019,2019,3,August,Aug,8
20190812,8/12/2019,2019,3,August,Aug,8
20190813,8/13/2019,2019,3,August,Aug,8
20190814,8/14/2019,2019,3,August,Aug,8
20190815,8/15/2019,2019,3,August,Aug,8
20190816,8/16/2019,2019,3,August,Aug,8
20190817,8/17/2019,2019,3,August,Aug,8
20190818,8/18/2019,2019,3,August,Aug,8
20190819,8/19/2019,2019,3,August,Aug,8
20190820,8/20/2019,2019,3,August,Aug,8
20190821,8/21/2019,2019,3,August,Aug,8
20190822,8/22/2019,2019,3,August,Aug,8
20190823,8/23/2019,2019,3,August,Aug,8
20190824,8/24/2019,2019,3,August,Aug,8
20190825,8/25/2019,2019,3,August,Aug,8
20190826,8/26/2019,2019,3,August,Aug,8
20190827,8/27/2019,2019,3,August,Aug,8
20190828,8/28/2019,2019,3,August,Aug,8
20190829,8/29/2019,2019,3,August,Aug,8
20190830,8/30/2019,2019,3,August,Aug,8
20190831,8/31/2019,2019,3,August,Aug,8
20190901,9/1/2019,2019,3,September,Sep,9
20190902,9/2/2019,2019,3,September,Sep,9
20190903,9/3/2019,2019,3,September,Sep,9
20190904,9/4/2019,2019,3,September,Sep,9
20190905,9/5/2019,2019,3,September,Sep,9
20190906,9/6/2019,2019,3,September,Sep,9
20190907,9/7/2019,2019,3,September,Sep,9
20190908,9/8/2019,2019,3,September,Sep,9
20190909,9/9/2019,2019,3,September,Sep,9
20190910,9/10/2019,2019,3,September,Sep,9
20190911,9/11/2019,2019,3,September,Sep,9
20190912,9/12/2019,2019,3,September,Sep,9
20190913,9/13/2019,2019,3,September,Sep,9
20190914,9/14/2019,2019,3,September,Sep,9
20190915,9/15/2019,2019,3,September,Sep,9
20190916,9/16/2019,2019,3,September,Sep,9
20190917,9/17/2019,2019,3,September,Sep,9
20190918,9/18/2019,2019,3,September,Sep,9
20190919,9/19/2019,2019,3,September,Sep,9
20190920,9/20/2019,2019,3,September,Sep,9
20190921,9/21/2019,2019,3,September,Sep,9
20190922,9/22/2019,2019,3,September,Sep,9
20190923,9/23/2019,2019,3,September,Sep,9
20190924,9/24/2019,2019,3,September,Sep,9
20190925,9/25/2019,2019,3,September,Sep,9
20190926,9/26/2019,2019,3,September,Sep,9
20190927,9/27/2019,2019,3,September,Sep,9
20190928,9/28/2019,2019,3,September,Sep,9
20190929,9/29/2019,2019,3,September,Sep,9
20190930,9/30/2019,2019,3,September,Sep,9
20191001,10/1/2019,2019,4,October,Oct,10
20191002,10/2/2019,2019,4,October,Oct,10
20191003,10/3/2019,2019,4,October,Oct,10
20191004,10/4/2019,2019,4,October,Oct,10
20191005,10/5/2019,2019,4,October,Oct,10
20191006,10/6/2019,2019,4,October,Oct,10
20191007,10/7/2019,2019,4,October,Oct,10
20191008,10/8/2019,2019,4,October,Oct,10
20191009,10/9/2019,2019,4,October,Oct,10
20191010,10/10/2019,2019,4,October,Oct,10
20191011,10/11/2019,2019,4,October,Oct,10
20191012,10/12/2019,2019,4,October,Oct,10
20191013,10/13/2019,2019,4,October,Oct,10
20191014,10/14/2019,2019,4,October,Oct,10
20191015,10/15/2019,2019,4,October,Oct,10
20191016,10/16/2019,2019,4,October,Oct,10
20191017,10/17/2019,2019,4,October,Oct,10
20191018,10/18/2019,2019,4,October,Oct,10
20191019,10/19/2019,2019,4,October,Oct,10
20191020,10/20/2019,2019,4,October,Oct,10
20191021,10/21/2019,2019,4,October,Oct,10
20191022,10/22/2019,2019,4,October,Oct,10
20191023,10/23/2019,2019,4,October,Oct,10
20191024,10/24/2019,2019,4,October,Oct,10
20191025,10/25/2019,2019,4,October,Oct,10
20191026,10/26/2019,2019,4,October,Oct,10
20191027,10/27/2019,2019,4,October,Oct,10
20191028,10/28/2019,2019,4,October,Oct,10
20191029,10/29/2019,2019,4,October,Oct,10
20191030,10/30/2019,2019,4,October,Oct,10
20191031,10/31/2019,2019,4,October,Oct,10
20191101,11/1/2019,2019,4,November,Nov,11
20191102,11/2/2019,2019,4,November,Nov,11
20191103,11/3/2019,2019,4,November,Nov,11
20191104,11/4/2019,2019,4,November,Nov,11
20191105,11/5/2019,2019,4,November,Nov,11
20191106,11/6/2019,2019,4,November,Nov,11
20191107,11/7/2019,2019,4,November,Nov,11
20191108,11/8/2019,2019,4,November,Nov,11
20191109,11/9/2019,2019,4,November,Nov,11
20191110,11/10/2019,2019,4,November,Nov,11
20191111,11/11/2019,2019,4,November,Nov,11
20191112,11/12/2019,2019,4,November,Nov,11
20191113,11/13/2019,2019,4,November,Nov,11
20191114,11/14/2019,2019,4,November,Nov,11
20191115,11/15/2019,2019,4,November,Nov,11
20191116,11/16/2019,2019,4,November,Nov,11
20191117,11/17/2019,2019,4,November,Nov,11
20191118,11/18/2019,2019,4,November,Nov,11
20191119,11/19/2019,2019,4,November,Nov,11
20191120,11/20/2019,2019,4,November,Nov,11
20191121,11/21/2019,2019,4,November,Nov,11
20191122,11/22/2019,2019,4,November,Nov,11
20191123,11/23/2019,2019,4,November,Nov,11
20191124,11/24/2019,2019,4,November,Nov,11
20191125,11/25/2019,2019,4,November,Nov,11
20191126,11/26/2019,2019,4,November,Nov,11
20191127,11/27/2019,2019,4,November,Nov,11
20191128,11/28/2019,2019,4,November,Nov,11
20191129,11/29/2019,2019,4,November,Nov,11
20191130,11/30/2019,2019,4,November,Nov,11
20191201,12/1/2019,2019,4,December,Dec,12
20191202,12/2/2019,2019,4,December,Dec,12
20191203,12/3/2019,2019,4,December,Dec,12
20191204,12/4/2019,2019,4,December,Dec,12
20191205,12/5/2019,2019,4,December,Dec,12
20191206,12/6/2019,2019,4,December,Dec,12
20191207,12/7/2019,2019,4,December,Dec,12
20191208,12/8/2019,2019,4,December,Dec,12
20191209,12/9/2019,2019,4,December,Dec,12
20191210,12/10/2019,2019,4,December,Dec,12
20191211,12/11/2019,2019,4,December,Dec,12
20191212,12/12/2019,2019,4,December,Dec,12
20191213,12/13/2019,2019,4,December,Dec,12
20191214,12/14/2019,2019,4,December,Dec,12
20191215,12/15/2019,2019,4,December,Dec,12
20191216,12/16/2019,2019,4,December,Dec,12
20191217,12/17/2019,2019,4,December,Dec,12
20191218,12/18/2019,2019,4,December,Dec,12
20191219,12/19/2019,2019,4,December,Dec,12
20191220,12/20/2019,2019,4,December,Dec,12
20191221,12/21/2019,2019,4,December,Dec,12
20191222,12/22/2019,2019,4,December,Dec,12
20191223,12/23/2019,2019,4,December,Dec,12
20191224,12/24/2019,2019,4,December,Dec,12
20191225,12/25/2019,2019,4,December,Dec,12
20191226,12/26/2019,2019,4,December,Dec,12
20191227,12/27/2019,2019,4,December,Dec,12
20191228,12/28/2019,2019,4,December,Dec,12
20191229,12/29/2019,2019,4,December,Dec,12
20191230,12/30/2019,2019,4,December,Dec,12
20191231,12/31/2019,2019,4,December,Dec,12
20200101,1/1/2020,2020,1,January,Jan,1
20200102,1/2/2020,2020,1,January,Jan,1
20200103,1/3/2020,2020,1,January,Jan,1
20200104,1/4/2020,2020,1,January,Jan,1
20200105,1/5/2020,2020,1,January,Jan,1
20200106,1/6/2020,2020,1,January,Jan,1
20200107,1/7/2020,2020,1,January,Jan,1
20200108,1/8/2020,2020,1,January,Jan,1
20200109,1/9/2020,2020,1,January,Jan,1
20200110,1/10/2020,2020,1,January,Jan,1
20200111,1/11/2020,2020,1,January,Jan,1
20200112,1/12/2020,2020,1,January,Jan,1
20200113,1/13/2020,2020,1,January,Jan,1
20200114,1/14/2020,2020,1,January,Jan,1
20200115,1/15/2020,2020,1,January,Jan,1
20200116,1/16/2020,2020,1,January,Jan,1
20200117,1/17/2020,2020,1,January,Jan,1
20200118,1/18/2020,2020,1,January,Jan,1
20200119,1/19/2020,2020,1,January,Jan,1
20200120,1/20/2020,2020,1,January,Jan,1
20200121,1/21/2020,2020,1,January,Jan,1
20200122,1/22/2020,2020,1,January,Jan,1
20200123,1/23/2020,2020,1,January,Jan,1
20200124,1/24/2020,2020,1,January,Jan,1
20200125,1/25/2020,2020,1,January,Jan,1
20200126,1/26/2020,2020,1,January,Jan,1
20200127,1/27/2020,2020,1,January,Jan,1
20200128,1/28/2020,2020,1,January,Jan,1
20200129,1/29/2020,2020,1,January,Jan,1
20200130,1/30/2020,2020,1,January,Jan,1
20200131,1/31/2020,2020,1,January,Jan,1
20200201,2/1/2020,2020,1,February,Feb,2
20200202,2/2/2020,2020,1,February,Feb,2
20200203,2/3/2020,2020,1,February,Feb,2
20200204,2/4/2020,2020,1,February,Feb,2
20200205,2/5/2020,2020,1,February,Feb,2
20200206,2/6/2020,2020,1,February,Feb,2
20200207,2/7/2020,2020,1,February,Feb,2
20200208,2/8/2020,2020,1,February,Feb,2
20200209,2/9/2020,2020,1,February,Feb,2
20200210,2/10/2020,2020,1,February,Feb,2
20200211,2/11/2020,2020,1,February,Feb,2
20200212,2/12/2020,2020,1,February,Feb,2
20200213,2/13/2020,2020,1,February,Feb,2
20200214,2/14/2020,2020,1,February,Feb,2
20200215,2/15/2020,2020,1,February,Feb,2
20200216,2/16/2020,2020,1,February,Feb,2
20200217,2/17/2020,2020,1,February,Feb,2
20200218,2/18/2020,2020,1,February,Feb,2
20200219,2/19/2020,2020,1,February,Feb,2
20200220,2/20/2020,2020,1,February,Feb,2
20200221,2/21/2020,2020,1,February,Feb,2
20200222,2/22/2020,2020,1,February,Feb,2
20200223,2/23/2020,2020,1,February,Feb,2
20200224,2/24/2020,2020,1,February,Feb,2
20200225,2/25/2020,2020,1,February,Feb,2
20200226,2/26/2020,2020,1,February,Feb,2
20200227,2/27/2020,2020,1,February,Feb,2
20200228,2/28/2020,2020,1,February,Feb,2
20200229,2/29/2020,2020,1,February,Feb,2
20200301,3/1/2020,2020,1,March,Mar,3
20200302,3/2/2020,2020,1,March,Mar,3
20200303,3/3/2020,2020,1,March,Mar,3
20200304,3/4/2020,2020,1,March,Mar,3
20200305,3/5/2020,2020,1,March,Mar,3
20200306,3/6/2020,2020,1,March,Mar,3
20200307,3/7/2020,2020,1,March,Mar,3
20200308,3/8/2020,2020,1,March,Mar,3
20200309,3/9/2020,2020,1,March,Mar,3
20200310,3/10/2020,2020,1,March,Mar,3
20200311,3/11/2020,2020,1,March,Mar,3
20200312,3/12/2020,2020,1,March,Mar,3
20200313,3/13/2020,2020,1,March,Mar,3
20200314,3/14/2020,2020,1,March,Mar,3
20200315,3/15/2020,2020,1,March,Mar,3
20200316,3/16/2020,2020,1,March,Mar,3
20200317,3/17/2020,2020,1,March,Mar,3
20200318,3/18/2020,2020,1,March,Mar,3
20200319,3/19/2020,2020,1,March,Mar,3
20200320,3/20/2020,2020,1,March,Mar,3
20200321,3/21/2020,2020,1,March,Mar,3
20200322,3/22/2020,2020,1,March,Mar,3
20200323,3/23/2020,2020,1,March,Mar,3
20200324,3/24/2020,2020,1,March,Mar,3
20200325,3/25/2020,2020,1,March,Mar,3
20200326,3/26/2020,2020,1,March,Mar,3
20200327,3/27/2020,2020,1,March,Mar,3
20200328,3/28/2020,2020,1,March,Mar,3
20200329,3/29/2020,2020,1,March,Mar,3
20200330,3/30/2020,2020,1,March,Mar,3
20200331,3/31/2020,2020,1,March,Mar,3
20200401,4/1/2020,2020,2,April,Apr,4
20200402,4/2/2020,2020,2,April,Apr,4
20200403,4/3/2020,2020,2,April,Apr,4
20200404,4/4/2020,2020,2,April,Apr,4
20200405,4/5/2020,2020,2,April,Apr,4
20200406,4/6/2020,2020,2,April,Apr,4
20200407,4/7/2020,2020,2,April,Apr,4
20200408,4/8/2020,2020,2,April,Apr,4
20200409,4/9/2020,2020,2,April,Apr,4
20200410,4/10/2020,2020,2,April,Apr,4
20200411,4/11/2020,2020,2,April,Apr,4
20200412,4/12/2020,2020,2,April,Apr,4
20200413,4/13/2020,2020,2,April,Apr,4
20200414,4/14/2020,2020,2,April,Apr,4
20200415,4/15/2020,2020,2,April,Apr,4
20200416,4/16/2020,2020,2,April,Apr,4
20200417,4/17/2020,2020,2,April,Apr,4
20200418,4/18/2020,2020,2,April,Apr,4
20200419,4/19/2020,2020,2,April,Apr,4
20200420,4/20/2020,2020,2,April,Apr,4
20200421,4/21/2020,2020,2,April,Apr,4
20200422,4/22/2020,2020,2,April,Apr,4
20200423,4/23/2020,2020,2,April,Apr,4
20200424,4/24/2020,2020,2,April,Apr,4
20200425,4/25/2020,2020,2,April,Apr,4
20200426,4/26/2020,2020,2,April,Apr,4
20200427,4/27/2020,2020,2,April,Apr,4
20200428,4/28/2020,2020,2,April,Apr,4
20200429,4/29/2020,2020,2,April,Apr,4
20200430,4/30/2020,2020,2,April,Apr,4
20200501,5/1/2020,2020,2,May,May,5
20200502,5/2/2020,2020,2,May,May,5
20200503,5/3/2020,2020,2,May,May,5
20200504,5/4/2020,2020,2,May,May,5
20200505,5/5/2020,2020,2,May,May,5
20200506,5/6/2020,2020,2,May,May,5
20200507,5/7/2020,2020,2,May,May,5
20200508,5/8/2020,2020,2,May,May,5
20200509,5/9/2020,2020,2,May,May,5
20200510,5/10/2020,2020,2,May,May,5
20200511,5/11/2020,2020,2,May,May,5
20200512,5/12/2020,2020,2,May,May,5
20200513,5/13/2020,2020,2,May,May,5
20200514,5/14/2020,2020,2,May,May,5
20200515,5/15/2020,2020,2,May,May,5
20200516,5/16/2020,2020,2,May,May,5
20200517,5/17/2020,2020,2,May,May,5
20200518,5/18/2020,2020,2,May,May,5
20200519,5/19/2020,2020,2,May,May,5
20200520,5/20/2020,2020,2,May,May,5
20200521,5/21/2020,2020,2,May,May,5
20200522,5/22/2020,2020,2,May,May,5
20200523,5/23/2020,2020,2,May,May,5
20200524,5/24/2020,2020,2,May,May,5
20200525,5/25/2020,2020,2,May,May,5
20200526,5/26/2020,2020,2,May,May,5
20200527,5/27/2020,2020,2,May,May,5
20200528,5/28/2020,2020,2,May,May,5
20200529,5/29/2020,2020,2,May,May,5
20200530,5/30/2020,2020,2,May,May,5
20200531,5/31/2020,2020,2,May,May,5
20200601,6/1/2020,2020,2,June,Jun,6
20200602,6/2/2020,2020,2,June,Jun,6
20200603,6/3/2020,2020,2,June,Jun,6
20200604,6/4/2020,2020,2,June,Jun,6
20200605,6/5/2020,2020,2,June,Jun,6
20200606,6/6/2020,2020,2,June,Jun,6
20200607,6/7/2020,2020,2,June,Jun,6
20200608,6/8/2020,2020,2,June,Jun,6
20200609,6/9/2020,2020,2,June,Jun,6
20200610,6/10/2020,2020,2,June,Jun,6
20200611,6/11/2020,2020,2,June,Jun,6
20200612,6/12/2020,2020,2,June,Jun,6
20200613,6/13/2020,2020,2,June,Jun,6
20200614,6/14/2020,2020,2,June,Jun,6
20200615,6/15/2020,2020,2,June,Jun,6
20200616,6/16/2020,2020,2,June,Jun,6
20200617,6/17/2020,2020,2,June,Jun,6
20200618,6/18/2020,2020,2,June,Jun,6
20200619,6/19/2020,2020,2,June,Jun,6
20200620,6/20/2020,2020,2,June,Jun,6
20200621,6/21/2020,2020,2,June,Jun,6
20200622,6/22/2020,2020,2,June,Jun,6
20200623,6/23/2020,2020,2,June,Jun,6
20200624,6/24/2020,2020,2,June,Jun,6
20200625,6/25/2020,2020,2,June,Jun,6
20200626,6/26/2020,2020,2,June,Jun,6
20200627,6/27/2020,2020,2,June,Jun,6
20200628,6/28/2020,2020,2,June,Jun,6
20200629,6/29/2020,2020,2,June,Jun,6
20200630,6/30/2020,2020,2,June,Jun,6
20200701,7/1/2020,2020,3,July,Jul,7
20200702,7/2/2020,2020,3,July,Jul,7
20200703,7/3/2020,2020,3,July,Jul,7
20200704,7/4/2020,2020,3,July,Jul,7
20200705,7/5/2020,2020,3,July,Jul,7
20200706,7/6/2020,2020,3,July,Jul,7
20200707,7/7/2020,2020,3,July,Jul,7
20200708,7/8/2020,2020,3,July,Jul,7
20200709,7/9/2020,2020,3,July,Jul,7
20200710,7/10/2020,2020,3,July,Jul,7
20200711,7/11/2020,2020,3,July,Jul,7
20200712,7/12/2020,2020,3,July,Jul,7
20200713,7/13/2020,2020,3,July,Jul,7
20200714,7/14/2020,2020,3,July,Jul,7
20200715,7/15/2020,2020,3,July,Jul,7
20200716,7/16/2020,2020,3,July,Jul,7
20200717,7/17/2020,2020,3,July,Jul,7
20200718,7/18/2020,2020,3,July,Jul,7
20200719,7/19/2020,2020,3,July,Jul,7
20200720,7/20/2020,2020,3,July,Jul,7
20200721,7/21/2020,2020,3,July,Jul,7
20200722,7/22/2020,2020,3,July,Jul,7
20200723,7/23/2020,2020,3,July,Jul,7
20200724,7/24/2020,2020,3,July,Jul,7
20200725,7/25/2020,2020,3,July,Jul,7
20200726,7/26/2020,2020,3,July,Jul,7
20200727,7/27/2020,2020,3,July,Jul,7
20200728,7/28/2020,2020,3,July,Jul,7
20200729,7/29/2020,2020,3,July,Jul,7
20200730,7/30/2020,2020,3,July,Jul,7
20200731,7/31/2020,2020,3,July,Jul,7
20200801,8/1/2020,2020,3,August,Aug,8
20200802,8/2/2020,2020,3,August,Aug,8
20200803,8/3/2020,2020,3,August,Aug,8
20200804,8/4/2020,2020,3,August,Aug,8
20200805,8/5/2020,2020,3,August,Aug,8
20200806,8/6/2020,2020,3,August,Aug,8
20200807,8/7/2020,2020,3,August,Aug,8
